strain_entity_id,outer_fold,control_type,seed,replicate,cosine_TRUE_control,embedding_displacement,l2_distance,fold_matched_lineage95_encoder,phenotype_labels_used,encoder_retrained,encoder_finetuned
STRAIN_000004,4,TIGHTBLOCK50,42,1,0.982806384563446,0.017193615436553955,0.18543794751167297,True,False,False,False
STRAIN_000004,4,TIGHTBLOCK50,142,2,0.977055013179779,0.022944986820220947,0.2142191380262375,True,False,False,False
STRAIN_000004,4,TIGHTBLOCK50,242,3,0.9863793253898621,0.01362067461013794,0.1650492548942566,True,False,False,False
STRAIN_000004,4,TIGHTBLOCK50,342,4,0.9751175045967102,0.024882495403289795,0.22308066487312317,True,False,False,False
STRAIN_000004,4,TIGHTBLOCK50,442,5,0.9841099977493286,0.015890002250671387,0.17826958000659943,True,False,False,False
STRAIN_000005,4,TIGHTBLOCK50,42,1,0.9810512661933899,0.018948733806610107,0.1946728676557541,True,False,False,False
STRAIN_000005,4,TIGHTBLOCK50,142,2,0.9703774452209473,0.029622554779052734,0.2434031069278717,True,False,False,False
STRAIN_000005,4,TIGHTBLOCK50,242,3,0.984838604927063,0.015161395072937012,0.17413398623466492,True,False,False,False
STRAIN_000005,4,TIGHTBLOCK50,342,4,0.9782596826553345,0.021740317344665527,0.20851999521255493,True,False,False,False
STRAIN_000005,4,TIGHTBLOCK50,442,5,0.9755979180335999,0.024402081966400146,0.22091639041900635,True,False,False,False
STRAIN_000006,4,TIGHTBLOCK50,42,1,0.9862616062164307,0.013738393783569336,0.16576071083545685,True,False,False,False
STRAIN_000006,4,TIGHTBLOCK50,142,2,0.9802470207214355,0.019752979278564453,0.19876083731651306,True,False,False,False
STRAIN_000006,4,TIGHTBLOCK50,242,3,0.978398323059082,0.02160167694091797,0.2078537791967392,True,False,False,False
STRAIN_000006,4,TIGHTBLOCK50,342,4,0.9770417213439941,0.02295827865600586,0.21428118646144867,True,False,False,False
STRAIN_000006,4,TIGHTBLOCK50,442,5,0.9770780801773071,0.02292191982269287,0.2141118049621582,True,False,False,False
STRAIN_000024,4,TIGHTBLOCK50,42,1,0.9615905284881592,0.03840947151184082,0.2771623134613037,True,False,False,False
STRAIN_000024,4,TIGHTBLOCK50,142,2,0.9628663063049316,0.03713369369506836,0.2725207209587097,True,False,False,False
STRAIN_000024,4,TIGHTBLOCK50,242,3,0.9644134044647217,0.03558659553527832,0.266783207654953,True,False,False,False
STRAIN_000024,4,TIGHTBLOCK50,342,4,0.9671305418014526,0.03286945819854736,0.2563961148262024,True,False,False,False
STRAIN_000024,4,TIGHTBLOCK50,442,5,0.9634519815444946,0.03654801845550537,0.27036309242248535,True,False,False,False
STRAIN_000109,4,TIGHTBLOCK50,42,1,0.9651823043823242,0.03481769561767578,0.2638853192329407,True,False,False,False
STRAIN_000109,4,TIGHTBLOCK50,142,2,0.967300534248352,0.03269946575164795,0.2557319104671478,True,False,False,False
STRAIN_000109,4,TIGHTBLOCK50,242,3,0.9691796898841858,0.03082031011581421,0.24827547371387482,True,False,False,False
STRAIN_000109,4,TIGHTBLOCK50,342,4,0.9756653308868408,0.02433466911315918,0.22061124444007874,True,False,False,False
STRAIN_000109,4,TIGHTBLOCK50,442,5,0.971853494644165,0.02814650535583496,0.23726142942905426,True,False,False,False
STRAIN_000114,4,TIGHTBLOCK50,42,1,0.9835643768310547,0.016435623168945312,0.18130402266979218,True,False,False,False
STRAIN_000114,4,TIGHTBLOCK50,142,2,0.9795686602592468,0.020431339740753174,0.20214496552944183,True,False,False,False
STRAIN_000114,4,TIGHTBLOCK50,242,3,0.9843263030052185,0.015673696994781494,0.17705199122428894,True,False,False,False
STRAIN_000114,4,TIGHTBLOCK50,342,4,0.9816529154777527,0.018347084522247314,0.191557377576828,True,False,False,False
STRAIN_000114,4,TIGHTBLOCK50,442,5,0.9817506074905396,0.01824939250946045,0.19104650616645813,True,False,False,False
STRAIN_000115,4,TIGHTBLOCK50,42,1,0.9833354949951172,0.016664505004882812,0.1825627088546753,True,False,False,False
STRAIN_000115,4,TIGHTBLOCK50,142,2,0.9821258783340454,0.01787412166595459,0.1890718638896942,True,False,False,False
STRAIN_000115,4,TIGHTBLOCK50,242,3,0.9806807041168213,0.01931929588317871,0.19656701385974884,True,False,False,False
STRAIN_000115,4,TIGHTBLOCK50,342,4,0.9840660095214844,0.015933990478515625,0.17851613461971283,True,False,False,False
STRAIN_000115,4,TIGHTBLOCK50,442,5,0.9809623956680298,0.019037604331970215,0.1951286345720291,True,False,False,False
STRAIN_000117,4,TIGHTBLOCK50,42,1,0.9917277693748474,0.008272230625152588,0.12862488627433777,True,False,False,False
STRAIN_000117,4,TIGHTBLOCK50,142,2,0.9911279678344727,0.008872032165527344,0.13320644199848175,True,False,False,False
STRAIN_000117,4,TIGHTBLOCK50,242,3,0.9909875392913818,0.009012460708618164,0.1342565417289734,True,False,False,False
STRAIN_000117,4,TIGHTBLOCK50,342,4,0.9899678230285645,0.010032176971435547,0.14164891839027405,True,False,False,False
STRAIN_000117,4,TIGHTBLOCK50,442,5,0.991682767868042,0.008317232131958008,0.12897388637065887,True,False,False,False
STRAIN_000118,4,TIGHTBLOCK50,42,1,0.9930068850517273,0.006993114948272705,0.11826353520154953,True,False,False,False
STRAIN_000118,4,TIGHTBLOCK50,142,2,0.993944525718689,0.006055474281311035,0.1100500226020813,True,False,False,False
STRAIN_000118,4,TIGHTBLOCK50,242,3,0.9946060180664062,0.00539398193359375,0.10386478900909424,True,False,False,False
STRAIN_000118,4,TIGHTBLOCK50,342,4,0.9933379888534546,0.00666201114654541,0.11542970687150955,True,False,False,False
STRAIN_000118,4,TIGHTBLOCK50,442,5,0.9950968027114868,0.004903197288513184,0.09902648627758026,True,False,False,False
STRAIN_000123,4,TIGHTBLOCK50,42,1,0.981723427772522,0.018276572227478027,0.1911887377500534,True,False,False,False
STRAIN_000123,4,TIGHTBLOCK50,142,2,0.9818479418754578,0.018152058124542236,0.19053657352924347,True,False,False,False
