strain_entity_id,outer_fold,control_type,seed,replicate,cosine_TRUE_control,embedding_displacement,l2_distance,fold_matched_lineage95_encoder,phenotype_labels_used,encoder_retrained,encoder_finetuned
STRAIN_000004,4,GLOBAL_CONTIG,42,1,0.8195193409919739,0.18048065900802612,0.600800633430481,True,False,False,False
STRAIN_000004,4,GLOBAL_CONTIG,142,2,0.8340482711791992,0.16595172882080078,0.5761106610298157,True,False,False,False
STRAIN_000004,4,GLOBAL_CONTIG,242,3,0.8158529996871948,0.18414700031280518,0.6068722605705261,True,False,False,False
STRAIN_000004,4,GLOBAL_CONTIG,342,4,0.8319583535194397,0.1680416464805603,0.5797268748283386,True,False,False,False
STRAIN_000004,4,GLOBAL_CONTIG,442,5,0.8329071998596191,0.16709280014038086,0.5780878067016602,True,False,False,False
STRAIN_000005,4,GLOBAL_CONTIG,42,1,0.8473970293998718,0.15260297060012817,0.5524545311927795,True,False,False,False
STRAIN_000005,4,GLOBAL_CONTIG,142,2,0.806915283203125,0.193084716796875,0.6214253306388855,True,False,False,False
STRAIN_000005,4,GLOBAL_CONTIG,242,3,0.7915570735931396,0.20844292640686035,0.6456670761108398,True,False,False,False
STRAIN_000005,4,GLOBAL_CONTIG,342,4,0.7908623218536377,0.2091376781463623,0.646742045879364,True,False,False,False
STRAIN_000005,4,GLOBAL_CONTIG,442,5,0.7910632491111755,0.20893675088882446,0.6464313864707947,True,False,False,False
STRAIN_000006,4,GLOBAL_CONTIG,42,1,0.8183621764183044,0.18163782358169556,0.6027234792709351,True,False,False,False
STRAIN_000006,4,GLOBAL_CONTIG,142,2,0.8334608674049377,0.16653913259506226,0.5771293044090271,True,False,False,False
STRAIN_000006,4,GLOBAL_CONTIG,242,3,0.839781641960144,0.16021835803985596,0.5660712718963623,True,False,False,False
STRAIN_000006,4,GLOBAL_CONTIG,342,4,0.8136194944381714,0.1863805055618286,0.6105416417121887,True,False,False,False
STRAIN_000006,4,GLOBAL_CONTIG,442,5,0.7915094494819641,0.2084905505180359,0.6457407474517822,True,False,False,False
STRAIN_000024,4,GLOBAL_CONTIG,42,1,0.6876646280288696,0.31233537197113037,0.7903611660003662,True,False,False,False
STRAIN_000024,4,GLOBAL_CONTIG,142,2,0.6587706804275513,0.34122931957244873,0.8261106014251709,True,False,False,False
STRAIN_000024,4,GLOBAL_CONTIG,242,3,0.6756138801574707,0.3243861198425293,0.8054640889167786,True,False,False,False
STRAIN_000024,4,GLOBAL_CONTIG,342,4,0.6978739500045776,0.30212604999542236,0.7773367166519165,True,False,False,False
STRAIN_000024,4,GLOBAL_CONTIG,442,5,0.6552225351333618,0.3447774648666382,0.8303945064544678,True,False,False,False
STRAIN_000109,4,GLOBAL_CONTIG,42,1,0.597495436668396,0.402504563331604,0.8972230553627014,True,False,False,False
STRAIN_000109,4,GLOBAL_CONTIG,142,2,0.5847461223602295,0.4152538776397705,0.9113219976425171,True,False,False,False
STRAIN_000109,4,GLOBAL_CONTIG,242,3,0.569911539554596,0.43008846044540405,0.9274571537971497,True,False,False,False
STRAIN_000109,4,GLOBAL_CONTIG,342,4,0.619716227054596,0.38028377294540405,0.8721051812171936,True,False,False,False
STRAIN_000109,4,GLOBAL_CONTIG,442,5,0.5810539722442627,0.4189460277557373,0.9153644442558289,True,False,False,False
STRAIN_000114,4,GLOBAL_CONTIG,42,1,0.603161633014679,0.39683836698532104,0.8908853530883789,True,False,False,False
STRAIN_000114,4,GLOBAL_CONTIG,142,2,0.5897728204727173,0.4102271795272827,0.9057893753051758,True,False,False,False
STRAIN_000114,4,GLOBAL_CONTIG,242,3,0.5887616872787476,0.41123831272125244,0.9069048762321472,True,False,False,False
STRAIN_000114,4,GLOBAL_CONTIG,342,4,0.5747303366661072,0.4252696633338928,0.9222469329833984,True,False,False,False
STRAIN_000114,4,GLOBAL_CONTIG,442,5,0.5653306245803833,0.4346693754196167,0.9323832988739014,True,False,False,False
STRAIN_000115,4,GLOBAL_CONTIG,42,1,0.5673290491104126,0.4326709508895874,0.9302374720573425,True,False,False,False
STRAIN_000115,4,GLOBAL_CONTIG,142,2,0.5665329098701477,0.4334670901298523,0.9310929775238037,True,False,False,False
STRAIN_000115,4,GLOBAL_CONTIG,242,3,0.5853121876716614,0.4146878123283386,0.9107005596160889,True,False,False,False
STRAIN_000115,4,GLOBAL_CONTIG,342,4,0.5559558868408203,0.4440441131591797,0.9423844218254089,True,False,False,False
STRAIN_000115,4,GLOBAL_CONTIG,442,5,0.6110680103302002,0.3889319896697998,0.8819659948348999,True,False,False,False
STRAIN_000117,4,GLOBAL_CONTIG,42,1,0.8824289441108704,0.11757105588912964,0.4849144220352173,True,False,False,False
STRAIN_000117,4,GLOBAL_CONTIG,142,2,0.8755860924720764,0.12441390752792358,0.4988264739513397,True,False,False,False
STRAIN_000117,4,GLOBAL_CONTIG,242,3,0.8824558854103088,0.11754411458969116,0.48485881090164185,True,False,False,False
STRAIN_000117,4,GLOBAL_CONTIG,342,4,0.8801290988922119,0.11987090110778809,0.4896344244480133,True,False,False,False
